round,option1,option2,outcomes,player1,player2,answer1,answer2,points1,points2,total1,total2
5,Q,X,reputation points,GPT-4,Defect_once,Q,Q,10,7,30,21
6,Q,X,reputation points,GPT-4,Defect_once,Q,X,0,0,30,21
7,Q,X,reputation points,GPT-4,Defect_once,Q,Q,10,7,40,28
8,Q,X,reputation points,GPT-4,Defect_once,Q,X,0,0,40,28
9,Q,X,reputation points,GPT-4,Defect_once,Q,Q,10,7,50,35
10,Q,X,reputation points,GPT-4,Defect_once,Q,X,0,0,50,35
1,Q,X,bonus rewards,GPT-4,Defect_once,Q,Q,10,7,10,7
2,X,Q,bonus rewards,GPT-4,Defect_once,Q,X,0,0,10,7
3,Q,X,bonus rewards,GPT-4,Defect_once,Q,Q,10,7,20,14
4,X,Q,bonus rewards,GPT-4,Defect_once,Q,X,0,0,20,14
5,X,Q,bonus rewards,GPT-4,Defect_once,Q,Q,10,7,30,21
6,Q,X,bonus rewards,GPT-4,Defect_once,Q,X,0,0,30,21
7,Q,X,bonus rewards,GPT-4,Defect_once,Q,Q,10,7,40,28
8,X,Q,bonus rewards,GPT-4,Defect_once,Q,X,0,0,40,28
9,Q,X,bonus rewards,GPT-4,Defect_once,Q,Q,10,7,50,35
10,X,Q,bonus rewards,GPT-4,Defect_once,Q,X,0,0,50,35
1,R,H,credits,GPT-4,Defect_once,R,R,10,7,10,7
2,R,H,credits,GPT-4,Defect_once,R,H,0,0,10,7
3,H,R,credits,GPT-4,Defect_once,R,R,10,7,20,14
4,H,R,credits,GPT-4,Defect_once,R,H,0,0,20,14
5,H,R,credits,GPT-4,Defect_once,R,R,10,7,30,21
6,R,H,credits,GPT-4,Defect_once,R,H,0,0,30,21
7,H,R,credits,GPT-4,Defect_once,R,R,10,7,40,28
8,H,R,credits,GPT-4,Defect_once,R,H,0,0,40,28
9,H,R,credits,GPT-4,Defect_once,R,R,10,7,50,35
10,H,R,credits,GPT-4,Defect_once,R,H,0,0,50,35
1,R,H,reputation points,GPT-4,Defect_once,R,R,10,7,10,7
2,R,H,reputation points,GPT-4,Defect_once,R,H,0,0,10,7
3,H,R,reputation points,GPT-4,Defect_once,R,R,10,7,20,14
4,H,R,reputation points,GPT-4,Defect_once,R,H,0,0,20,14
5,H,R,reputation points,GPT-4,Defect_once,R,R,10,7,30,21
6,R,H,reputation points,GPT-4,Defect_once,R,H,0,0,30,21
7,R,H,reputation points,GPT-4,Defect_once,R,R,10,7,40,28
8,R,H,reputation points,GPT-4,Defect_once,R,H,0,0,40,28
9,H,R,reputation points,GPT-4,Defect_once,R,R,10,7,50,35
10,H,R,reputation points,GPT-4,Defect_once,R,H,0,0,50,35
1,H,R,bonus rewards,GPT-4,Defect_once,R,R,10,7,10,7
2,H,R,bonus rewards,GPT-4,Defect_once,R,H,0,0,10,7
3,R,H,bonus rewards,GPT-4,Defect_once,R,R,10,7,20,14
4,H,R,bonus rewards,GPT-4,Defect_once,R,H,0,0,20,14
5,H,R,bonus rewards,GPT-4,Defect_once,R,R,10,7,30,21
6,R,H,bonus rewards,GPT-4,Defect_once,R,H,0,0,30,21
7,R,H,bonus rewards,GPT-4,Defect_once,R,R,10,7,40,28
8,H,R,bonus rewards,GPT-4,Defect_once,R,H,0,0,40,28
9,H,R,bonus rewards,GPT-4,Defect_once,R,R,10,7,50,35
10,R,H,bonus rewards,GPT-4,Defect_once,R,H,0,0,50,35
