round,option1,option2,outcomes,player1,player2,answer1,answer2,points1,points2,total1,total2
8,X,Q,dollars,GPT-4,Defect_once,Q,X,0,0,40,28
9,Q,X,dollars,GPT-4,Defect_once,Q,Q,10,7,50,35
10,Q,X,dollars,GPT-4,Defect_once,Q,X,0,0,50,35
1,X,Q,coins,GPT-4,Defect_once,Q,Q,10,7,10,7
2,Q,X,coins,GPT-4,Defect_once,Q,X,0,0,10,7
3,X,Q,coins,GPT-4,Defect_once,Q,Q,10,7,20,14
4,Q,X,coins,GPT-4,Defect_once,Q,X,0,0,20,14
5,Q,X,coins,GPT-4,Defect_once,Q,Q,10,7,30,21
6,Q,X,coins,GPT-4,Defect_once,Q,X,0,0,30,21
7,Q,X,coins,GPT-4,Defect_once,Q,Q,10,7,40,28
8,X,Q,coins,GPT-4,Defect_once,Q,X,0,0,40,28
9,Q,X,coins,GPT-4,Defect_once,Q,Q,10,7,50,35
10,X,Q,coins,GPT-4,Defect_once,Q,X,0,0,50,35
1,R,H,points,GPT-4,Defect_once,R,R,10,7,10,7
2,R,H,points,GPT-4,Defect_once,R,H,0,0,10,7
3,H,R,points,GPT-4,Defect_once,R,R,10,7,20,14
4,H,R,points,GPT-4,Defect_once,R,H,0,0,20,14
5,R,H,points,GPT-4,Defect_once,R,R,10,7,30,21
6,R,H,points,GPT-4,Defect_once,R,H,0,0,30,21
7,H,R,points,GPT-4,Defect_once,R,R,10,7,40,28
8,H,R,points,GPT-4,Defect_once,R,H,0,0,40,28
9,R,H,points,GPT-4,Defect_once,R,R,10,7,50,35
10,R,H,points,GPT-4,Defect_once,R,H,0,0,50,35
1,H,R,dollars,GPT-4,Defect_once,R,R,10,7,10,7
2,R,H,dollars,GPT-4,Defect_once,R,H,0,0,10,7
3,R,H,dollars,GPT-4,Defect_once,R,R,10,7,20,14
4,H,R,dollars,GPT-4,Defect_once,R,H,0,0,20,14
5,H,R,dollars,GPT-4,Defect_once,R,R,10,7,30,21
6,H,R,dollars,GPT-4,Defect_once,R,H,0,0,30,21
7,H,R,dollars,GPT-4,Defect_once,R,R,10,7,40,28
8,R,H,dollars,GPT-4,Defect_once,R,H,0,0,40,28
9,H,R,dollars,GPT-4,Defect_once,R,R,10,7,50,35
10,H,R,dollars,GPT-4,Defect_once,R,H,0,0,50,35
1,H,R,coins,GPT-4,Defect_once,R,R,10,7,10,7
2,R,H,coins,GPT-4,Defect_once,R,H,0,0,10,7
3,H,R,coins,GPT-4,Defect_once,R,R,10,7,20,14
4,H,R,coins,GPT-4,Defect_once,R,H,0,0,20,14
5,R,H,coins,GPT-4,Defect_once,R,R,10,7,30,21
6,R,H,coins,GPT-4,Defect_once,R,H,0,0,30,21
7,H,R,coins,GPT-4,Defect_once,R,R,10,7,40,28
8,H,R,coins,GPT-4,Defect_once,R,H,0,0,40,28
9,R,H,coins,GPT-4,Defect_once,R,R,10,7,50,35
10,H,R,coins,GPT-4,Defect_once,R,H,0,0,50,35
